Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T04:41:30Z,0.08,0.09
2018-03-26T04:41:40Z,0.01,0.03
2018-03-26T04:41:50Z,0.01,0.05
2018-03-26T04:42:00Z,0.02,0.03
2018-03-26T04:42:10Z,0.01,0.27
2018-03-26T04:42:21Z,0.01,0.07
2018-03-26T04:42:31Z,0.02,0.16
2018-03-26T04:42:41Z,0.02,0.02
2018-03-26T04:42:51Z,0.01,0.03
2018-03-26T04:43:01Z,0.03,0.09
2018-03-26T04:43:11Z,0.01,0.02
2018-03-26T04:43:21Z,0.01,0.03
2018-03-26T04:43:31Z,0.01,5.57
2018-03-26T04:43:47Z,0.01,0.02
2018-03-26T04:43:57Z,0.01,0.02
2018-03-26T04:44:07Z,0.76,5.08
2018-03-26T04:44:23Z,0.05,0.01
2018-03-26T04:44:33Z,0.01,0.03
2018-03-26T04:44:43Z,0.01,0.02
2018-03-26T04:44:53Z,0.01,0.03
2018-03-26T04:45:03Z,0.01,5.53
2018-03-26T04:45:19Z,0.02,0.03
2018-03-26T04:45:29Z,0.01,0.03
2018-03-26T04:45:39Z,0.02,0.07
2018-03-26T04:45:49Z,0.01,0.09
2018-03-26T04:45:59Z,0.02,0.03
2018-03-26T04:46:09Z,0.01,5.53
2018-03-26T04:46:25Z,0.03,5.53
2018-03-26T04:46:40Z,0.01,0.03
2018-03-26T04:46:50Z,0.02,0.05
2018-03-26T04:47:01Z,0.01,0.03
2018-03-26T04:47:11Z,0.02,0.03
2018-03-26T04:47:21Z,0.02,0.02
2018-03-26T04:47:31Z,0.01,0.07
2018-03-26T04:47:41Z,0.01,0.03
2018-03-26T04:47:51Z,0.06,0.05
2018-03-26T04:48:01Z,0.01,0.03
2018-03-26T04:48:11Z,0.02,5.53
2018-03-26T04:48:27Z,0.01,0.03
2018-03-26T04:48:37Z,0.01,0.03
2018-03-26T04:48:47Z,0.01,0.04
2018-03-26T04:48:57Z,0.01,0.12
2018-03-26T04:49:07Z,0.01,5.52
2018-03-26T04:49:23Z,0.01,0.02
2018-03-26T04:49:33Z,0.02,5.52
2018-03-26T04:49:48Z,0.02,0.03
2018-03-26T04:49:58Z,0.02,0.01
2018-03-26T04:50:08Z,0.02,0.02
2018-03-26T04:50:18Z,0.01,0.02
2018-03-26T04:50:28Z,0.09,0.03
2018-03-26T04:50:39Z,0.02,5.53
2018-03-26T04:50:54Z,0.01,5.53
2018-03-26T04:51:10Z,0.01,0.02
2018-03-26T04:51:20Z,0.01,0.27
2018-03-26T04:51:30Z,0.02,5.52
2018-03-26T04:51:46Z,0.02,0.02
2018-03-26T04:51:56Z,0.01,0.02
2018-03-26T04:52:06Z,0.02,0.27
2018-03-26T04:52:16Z,0.02,0.03
2018-03-26T04:52:26Z,0.01,0.02
2018-03-26T04:52:36Z,0.01,5.53
2018-03-26T04:52:52Z,0.01,0.27
2018-03-26T04:53:02Z,0.02,0.03
2018-03-26T04:53:12Z,0.01,0.02
2018-03-26T04:53:22Z,0.01,0.02
2018-03-26T04:53:32Z,0.01,0.02
2018-03-26T04:53:42Z,0.01,0.03
2018-03-26T04:53:52Z,0.02,0.03
2018-03-26T04:54:02Z,0.01,0.03
2018-03-26T04:54:13Z,0.01,5.57
2018-03-26T04:54:28Z,0.02,0.07
2018-03-26T04:54:38Z,0.02,0.03
2018-03-26T04:54:48Z,0.01,0.03
2018-03-26T04:54:58Z,0.02,0.02
2018-03-26T04:55:08Z,0.01,0.03
2018-03-26T04:55:18Z,0.01,0.27
2018-03-26T04:55:29Z,0.01,0.02
2018-03-26T04:55:39Z,0.01,0.02
2018-03-26T04:55:49Z,0.02,0.03
2018-03-26T04:55:59Z,0.01,5.53
2018-03-26T04:56:15Z,0.01,0.27
2018-03-26T04:56:25Z,0.02,0.02
2018-03-26T04:56:35Z,0.02,0.04
2018-03-26T04:56:45Z,0.01,0.02
2018-03-26T04:56:55Z,0.01,0.08
2018-03-26T04:57:05Z,0.01,5.53
2018-03-26T04:57:21Z,0.02,0.03
2018-03-26T04:57:31Z,0.02,0.05
2018-03-26T04:57:41Z,0.02,0.03
2018-03-26T04:57:51Z,0.01,0.02
2018-03-26T04:58:01Z,0.01,0.03
2018-03-26T04:58:11Z,0.01,0.03
2018-03-26T04:58:21Z,0.01,0.03
2018-03-26T04:58:31Z,0.01,0.03
2018-03-26T04:58:41Z,0.02,0.03
2018-03-26T04:58:51Z,0.01,0.03
2018-03-26T04:59:01Z,0.02,0.03
2018-03-26T04:59:11Z,0.01,0.02
2018-03-26T04:59:22Z,0.02,5.61
2018-03-26T04:59:37Z,0.02,0.28
2018-03-26T04:59:47Z,0.02,0.02
2018-03-26T04:59:58Z,0.01,0.02
2018-03-26T05:00:08Z,0.01,0.02
2018-03-26T05:00:18Z,0.04,0.04
2018-03-26T05:00:28Z,0.04,5.53
2018-03-26T05:00:43Z,0.01,0.03
2018-03-26T05:00:53Z,0.02,0.03
2018-03-26T05:01:03Z,0.02,0.02
2018-03-26T05:01:14Z,0.02,0.03
2018-03-26T05:01:24Z,0.01,0.03
2018-03-26T05:01:34Z,0.01,0.02
2018-03-26T05:01:44Z,0.02,0.02
2018-03-26T05:01:54Z,0.01,0.02
2018-03-26T05:02:04Z,0.01,0.03
2018-03-26T05:02:14Z,0.01,5.53
2018-03-26T05:02:29Z,0.01,0.27
2018-03-26T05:02:40Z,0.01,0.02
2018-03-26T05:02:50Z,0.01,5.53
2018-03-26T05:03:05Z,0.01,0.03
2018-03-26T05:03:15Z,0.02,0.03
2018-03-26T05:03:26Z,0.01,0.02
2018-03-26T05:03:36Z,0.01,0.26
2018-03-26T05:03:46Z,0.02,0.02
2018-03-26T05:03:56Z,0.02,0.04
2018-03-26T05:04:06Z,0.02,5.53
2018-03-26T05:04:22Z,0.01,5.63
2018-03-26T05:04:37Z,0.01,0.02
2018-03-26T05:04:47Z,0.02,0.03
2018-03-26T05:04:57Z,0.01,0.02
2018-03-26T05:05:07Z,0.01,0.02
2018-03-26T05:05:17Z,0.02,0.02
2018-03-26T05:05:28Z,0.04,0.03
2018-03-26T05:05:38Z,0.01,0.02
2018-03-26T05:05:48Z,0.01,0.03
2018-03-26T05:05:58Z,0.01,0.02
2018-03-26T05:06:08Z,0.01,0.03
2018-03-26T05:06:18Z,0.01,0.02
2018-03-26T05:06:28Z,0.01,0.02
2018-03-26T05:06:38Z,0.02,0.03
2018-03-26T05:06:48Z,0.02,0.04
2018-03-26T05:06:58Z,0.01,0.03
2018-03-26T05:07:08Z,0.02,0.05
2018-03-26T05:07:18Z,0.01,0.02
2018-03-26T05:07:28Z,0.02,0.02
2018-03-26T05:07:38Z,0.01,0.03
2018-03-26T05:07:48Z,0.03,0.03
2018-03-26T05:07:59Z,0.01,0.03
2018-03-26T05:08:09Z,0.01,0.03
2018-03-26T05:08:19Z,0.01,0.02
2018-03-26T05:08:29Z,1.05,0.03
2018-03-26T05:08:40Z,0.02,0.03
2018-03-26T05:08:50Z,0.02,0.03
2018-03-26T05:09:00Z,0.01,0.02
2018-03-26T05:09:10Z,0.01,0.08
2018-03-26T05:09:20Z,0.01,0.02
2018-03-26T05:09:30Z,0.01,0.27
2018-03-26T05:09:41Z,0.09,0.02
2018-03-26T05:09:51Z,0.01,0.03
2018-03-26T05:10:01Z,0.01,0.03
2018-03-26T05:10:11Z,0.02,5.53
2018-03-26T05:10:26Z,0.02,0.03
2018-03-26T05:10:36Z,0.03,5.53
2018-03-26T05:10:52Z,0.01,0.03
2018-03-26T05:11:02Z,0.03,0.03
2018-03-26T05:11:12Z,0.02,0.02
2018-03-26T05:11:22Z,0.02,0.03
2018-03-26T05:11:32Z,0.02,0.03
2018-03-26T05:11:42Z,0.02,0.03
2018-03-26T05:11:52Z,0.05,0.04
2018-03-26T05:12:03Z,0.01,0.02
2018-03-26T05:12:13Z,0.02,0.04
2018-03-26T05:12:23Z,0.01,0.03
2018-03-26T05:12:33Z,0.01,0.27
2018-03-26T05:12:43Z,0.02,0.03
2018-03-26T05:12:53Z,0.12,0.03
2018-03-26T05:13:03Z,0.02,0.03
2018-03-26T05:13:13Z,0.01,0.03
2018-03-26T05:13:23Z,0.02,0.02
2018-03-26T05:13:34Z,0.02,0.03
2018-03-26T05:13:44Z,0.02,0.27
2018-03-26T05:13:54Z,0.01,0.02
2018-03-26T05:14:04Z,0.01,0.02
2018-03-26T05:14:14Z,0.02,5.53
2018-03-26T05:14:30Z,0.13,0.02
2018-03-26T05:14:40Z,0.02,0.02
2018-03-26T05:14:50Z,0.02,0.03
2018-03-26T05:15:00Z,0.01,0.02
2018-03-26T05:15:10Z,0.01,0.02
2018-03-26T05:15:20Z,0.01,0.02
2018-03-26T05:15:30Z,0.01,0.03
2018-03-26T05:15:40Z,0.01,0.02
2018-03-26T05:15:50Z,0.01,0.04
2018-03-26T05:16:00Z,0.02,0.02
2018-03-26T05:16:10Z,0.02,0.03
2018-03-26T05:16:20Z,0.01,0.27
2018-03-26T05:16:31Z,0.02,0.03
2018-03-26T05:16:41Z,0.02,0.02
2018-03-26T05:16:51Z,0.01,0.04
2018-03-26T05:17:01Z,0.02,0.03
2018-03-26T05:17:11Z,0.02,5.53
2018-03-26T05:17:27Z,0.01,0.03
2018-03-26T05:17:37Z,0.01,0.03
2018-03-26T05:17:47Z,0.02,0.02
2018-03-26T05:17:57Z,0.02,0.03
2018-03-26T05:18:07Z,0.01,0.02
2018-03-26T05:18:17Z,0.02,0.03
2018-03-26T05:18:27Z,0.01,0.03
2018-03-26T05:18:37Z,0.01,0.03
2018-03-26T05:18:47Z,0.01,0.03
2018-03-26T05:18:57Z,0.02,0.03
2018-03-26T05:19:07Z,0.02,0.02
2018-03-26T05:19:17Z,0.01,0.04
2018-03-26T05:19:27Z,0.02,0.27
2018-03-26T05:19:38Z,0.01,0.03
2018-03-26T05:19:48Z,0.02,0.03
2018-03-26T05:19:58Z,0.02,0.03
2018-03-26T05:20:08Z,0.01,0.02
2018-03-26T05:20:18Z,0.01,5.54
2018-03-26T05:20:33Z,0.01,0.03
2018-03-26T05:20:44Z,0.01,5.53
2018-03-26T05:20:59Z,0.02,0.03
2018-03-26T05:21:09Z,0.01,0.14
2018-03-26T05:21:19Z,0.03,0.03
2018-03-26T05:21:29Z,0.02,0.03
2018-03-26T05:21:40Z,0.01,0.02
2018-03-26T05:21:50Z,0.02,0.03
2018-03-26T05:22:00Z,0.02,0.02
2018-03-26T05:22:10Z,0.01,0.04
2018-03-26T05:22:20Z,0.02,0.03
2018-03-26T05:22:30Z,0.02,0.06
2018-03-26T05:22:40Z,0.02,0.08
2018-03-26T05:22:50Z,0.02,0.03
2018-03-26T05:23:00Z,0.02,0.02
2018-03-26T05:23:10Z,0.02,0.04
2018-03-26T05:23:20Z,0.01,0.02
2018-03-26T05:23:30Z,0.01,0.07
2018-03-26T05:23:40Z,0.02,0.04
2018-03-26T05:23:51Z,0.01,0.02
2018-03-26T05:24:01Z,0.01,0.03
2018-03-26T05:24:11Z,0.01,0.02
2018-03-26T05:24:21Z,0.02,0.02
2018-03-26T05:24:31Z,0.01,0.01
2018-03-26T05:24:41Z,0.01,0.02
2018-03-26T05:24:51Z,0.01,0.03
2018-03-26T05:25:01Z,0.01,0.01
2018-03-26T05:25:11Z,0.01,0.03
2018-03-26T05:25:21Z,0.02,0.03
2018-03-26T05:25:31Z,0.01,5.52
2018-03-26T05:25:47Z,0.02,0.02
2018-03-26T05:25:57Z,0.01,0.02
2018-03-26T05:26:07Z,0.01,5.53
2018-03-26T05:26:22Z,0.02,0.03
2018-03-26T05:26:32Z,0.01,0.03
2018-03-26T05:26:42Z,0.01,0.27
2018-03-26T05:26:53Z,0.02,0.04
2018-03-26T05:27:03Z,0.01,5.53
2018-03-26T05:27:18Z,0.01,0.02
2018-03-26T05:27:28Z,0.01,0.03
2018-03-26T05:27:39Z,0.01,0.02
2018-03-26T05:27:49Z,0.02,0.02
2018-03-26T05:27:59Z,0.01,0.03
2018-03-26T05:28:09Z,0.01,0.02
2018-03-26T05:28:19Z,0.01,0.03
2018-03-26T05:28:29Z,0.07,0.02
2018-03-26T05:28:39Z,0.02,0.03
2018-03-26T05:28:49Z,0.01,5.54
2018-03-26T05:29:05Z,0.01,0.04
2018-03-26T05:29:15Z,0.01,0.03
2018-03-26T05:29:25Z,0.01,0.03
2018-03-26T05:29:35Z,0.03,0.02
2018-03-26T05:29:45Z,0.01,0.25
2018-03-26T05:29:55Z,0.01,0.04
2018-03-26T05:30:05Z,0.01,0.07
2018-03-26T05:30:15Z,0.07,0.03
2018-03-26T05:30:25Z,0.01,0.01
2018-03-26T05:30:35Z,0.01,0.02
2018-03-26T05:30:46Z,0.01,5.53
2018-03-26T05:31:01Z,0.01,0.02
2018-03-26T05:31:11Z,0.02,0.02
2018-03-26T05:31:21Z,0.01,0.03
2018-03-26T05:31:31Z,0.01,0.11
2018-03-26T05:31:41Z,0.01,0.02
2018-03-26T05:31:51Z,0.01,5.53
2018-03-26T05:32:07Z,0.01,0.03
2018-03-26T05:32:17Z,0.01,0.03
2018-03-26T05:32:27Z,0.11,0.02
2018-03-26T05:32:37Z,0.01,0.16
2018-03-26T05:32:47Z,0.01,0.03
2018-03-26T05:32:58Z,0.02,0.04
2018-03-26T05:33:08Z,0.01,0.27
2018-03-26T05:33:18Z,0.01,0.03
2018-03-26T05:33:28Z,0.02,5.53
2018-03-26T05:33:44Z,0.01,0.02
2018-03-26T05:33:54Z,0.01,0.04
2018-03-26T05:34:04Z,0.02,0.03
2018-03-26T05:34:14Z,0.03,0.04
2018-03-26T05:34:24Z,0.01,0.03
2018-03-26T05:34:34Z,0.01,0.05
2018-03-26T05:34:44Z,0.02,0.02
2018-03-26T05:34:54Z,0.02,0.02
2018-03-26T05:35:04Z,0.01,0.02
2018-03-26T05:35:14Z,0.02,0.02
2018-03-26T05:35:24Z,0.02,0.02
2018-03-26T05:35:34Z,0.02,0.03
2018-03-26T05:35:44Z,0.02,0.02
2018-03-26T05:35:54Z,0.02,0.03
2018-03-26T05:36:05Z,0.02,0.02
2018-03-26T05:36:15Z,0.01,0.02
2018-03-26T05:36:25Z,0.01,0.03
2018-03-26T05:36:35Z,0.01,0.03
2018-03-26T05:36:45Z,0.02,0.03
2018-03-26T05:36:55Z,0.01,0.02
2018-03-26T05:37:05Z,0.01,5.53
2018-03-26T05:37:20Z,0.01,0.26
2018-03-26T05:37:31Z,0.01,5.52
2018-03-26T05:37:46Z,0.02,5.53
2018-03-26T05:38:02Z,0.02,0.02
2018-03-26T05:38:12Z,0.01,0.03
2018-03-26T05:38:22Z,0.01,6.67
2018-03-26T05:38:39Z,0.02,0.03
2018-03-26T05:38:49Z,0.01,5.53
2018-03-26T05:39:04Z,0.01,0.01
2018-03-26T05:39:14Z,0.01,0.02
2018-03-26T05:39:24Z,0.03,0.03
2018-03-26T05:39:34Z,0.01,0.04
2018-03-26T05:39:45Z,0.02,0.03
2018-03-26T05:39:55Z,0.01,0.03
2018-03-26T05:40:05Z,0.01,0.02
2018-03-26T05:40:15Z,0.01,5.53
2018-03-26T05:40:30Z,0.01,0.02
2018-03-26T05:40:40Z,0.01,0.03
2018-03-26T05:40:50Z,0.01,0.03
2018-03-26T05:41:01Z,0.01,0.03
2018-03-26T05:41:11Z,0.02,0.02
2018-03-26T05:41:21Z,0.01,5.53
2018-03-26T05:41:36Z,0.01,0.03
2018-03-26T05:41:46Z,0.01,0.02
2018-03-26T05:41:56Z,0.01,5.53
2018-03-26T05:42:12Z,0.01,0.03
2018-03-26T05:42:22Z,0.02,5.53
2018-03-26T05:42:38Z,0.01,0.27
2018-03-26T05:42:48Z,0.01,5.53
2018-03-26T05:43:03Z,0.01,0.02
2018-03-26T05:43:13Z,0.01,0.03
2018-03-26T05:43:24Z,0.01,0.02
2018-03-26T05:43:34Z,0.01,0.02
2018-03-26T05:43:44Z,0.01,0.03
2018-03-26T05:43:54Z,0.02,0.02
2018-03-26T05:44:04Z,0.01,0.02
2018-03-26T05:44:14Z,0.02,0.02
2018-03-26T05:44:24Z,0.01,0.03
2018-03-26T05:44:34Z,0.02,0.02
2018-03-26T05:44:44Z,0.01,0.02
2018-03-26T05:44:54Z,0.01,0.03
2018-03-26T05:45:04Z,0.01,0.04
2018-03-26T05:45:14Z,0.01,0.02
2018-03-26T05:45:24Z,0.02,0.03
2018-03-26T05:45:34Z,0.02,0.27
2018-03-26T05:45:45Z,0.01,0.26
2018-03-26T05:45:55Z,0.06,0.02
2018-03-26T05:46:05Z,0.02,0.03
2018-03-26T05:46:15Z,0.02,0.02
